Value 1,Value 2,Operation,Result Provided,Calculated Result,Validation
1,2,division,0.5,0.5,Pass
2,3,division,0.6666666666666666,0.6666666666666666,Pass
3,4,division,0.75,0.75,Pass
4,5,division,0.8,0.8,Pass
5,6,division,0.8333333333333334,0.8333333333333334,Pass
6,7,division,0.8571428571428571,0.8571428571428571,Pass
7,8,division,0.875,0.875,Pass
8,9,division,0.88,0.8888888888888888,Fail
9,10,division,0.9,0.9,Pass
10,11,division,0.9090909090909091,0.9090909090909091,Pass
11,12,division,0.9166666666666666,0.9166666666666666,Pass
12,13,division,0.9230769230769231,0.9230769230769231,Pass
13,14,division,0.9285714285714286,0.9285714285714286,Pass
0,0,division,0,Zero Division Error,Fail
5,,division,0,Attribute Error,Fail
3,4,division,0.75,0.75,Pass
Timestamp: Thu Dec 16 02:48:59 2021
Operation: division
